number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_head,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
100,0.2433081320960641,2020-09-29 15:24:15.818811,2020-09-29 19:00:53.126956,0 days 03:36:37.308145000,256.0,0.2,0.005023266326345273,linear_with_warmup,16.0,1.0,4.0,256.0,1.875800334732528e-06,,COMPLETE
101,,2020-09-29 19:00:53.216732,,,,,,,,,,,,,RUNNING
102,,2020-09-29 19:02:37.200666,,,,,,,,,,,,,RUNNING
103,,2020-09-29 19:05:53.556752,,,,,,,,,,,,,RUNNING
104,,2020-09-29 19:10:01.657465,,,,,,,,,,,,,RUNNING
105,,2020-09-29 19:21:07.075333,,,,,,,,,,,,,RUNNING
106,0.18711885602677839,2020-09-29 19:55:53.411315,2020-09-30 01:12:17.080440,0 days 05:16:23.669125000,256.0,0.2,0.007704726812800262,constant_with_warmup,2.0,2.0,5.0,192.0,1.4348507325845965e-06,,COMPLETE
107,0.30378349701450763,2020-09-29 19:55:53.437449,2020-09-30 00:36:12.916882,0 days 04:40:19.479433000,256.0,0.2,0.0075732229813820304,constant_with_warmup,2.0,2.0,5.0,192.0,1.4681793514854828e-06,,COMPLETE
108,0.15478162421174219,2020-09-29 19:55:53.452259,2020-09-30 00:41:04.144402,0 days 04:45:10.692143000,256.0,0.2,0.007009967610807942,constant_with_warmup,2.0,2.0,5.0,192.0,1.4788221696115518e-06,,COMPLETE
109,0.32147229234039554,2020-09-29 19:55:53.476570,2020-09-30 00:34:14.860727,0 days 04:38:21.384157000,256.0,0.2,0.0027955160327629205,constant_with_warmup,2.0,2.0,5.0,192.0,1.5182613284963298e-06,,COMPLETE
110,0.2587784480440485,2020-09-29 19:55:53.496049,2020-09-30 01:27:32.382995,0 days 05:31:38.886946000,256.0,0.2,0.007546248561235821,constant_with_warmup,2.0,2.0,5.0,192.0,1.532204403667675e-06,,COMPLETE
111,0.3697321556966484,2020-09-30 00:34:14.953517,2020-09-30 06:22:49.985784,0 days 05:48:35.032267000,128.0,0.2,0.007708957424463831,constant_with_warmup,2.0,2.0,5.0,192.0,1.4132257497919692e-06,,COMPLETE
112,0.21237607888298465,2020-09-30 00:36:12.951507,2020-09-30 06:41:23.276689,0 days 06:05:10.325182000,256.0,0.2,0.008765558697605756,constant_with_warmup,2.0,2.0,5.0,192.0,2.399203705796844e-06,,COMPLETE
113,0.3713464099564518,2020-09-30 00:41:04.197613,2020-09-30 06:22:50.024608,0 days 05:41:45.826995000,128.0,0.2,0.008616206537438794,constant_with_warmup,2.0,2.0,5.0,192.0,1.2114826722806457e-06,,COMPLETE
114,0.24203130904656517,2020-09-30 01:12:17.116460,2020-09-30 06:50:24.339640,0 days 05:38:07.223180000,128.0,0.2,0.002353174687253792,constant_with_warmup,2.0,2.0,5.0,192.0,1.2006218152500393e-06,,COMPLETE
115,0.4560093778483947,2020-09-30 01:27:32.423158,2020-09-30 07:21:39.250366,0 days 05:54:06.827208000,256.0,0.2,0.0043013137929847674,constant_with_warmup,2.0,3.0,5.0,192.0,2.354249262970849e-06,,COMPLETE
116,0.385174197439547,2020-09-30 06:22:50.099943,2020-09-30 10:57:20.488194,0 days 04:34:30.388251000,256.0,0.2,0.004078671909796812,constant_with_warmup,2.0,3.0,5.0,192.0,5.903191258172138e-05,,COMPLETE
